"rep_id","n_input","beta","n_cat","effect_size_fast","p_value_fast","effect_size_nca","p_value_nca","nca_error"
250,500,0.4,5,0.0625,0.015984015984016,0.0625,0.011988011988012,NA
251,500,0.4,5,0.0625,0.011988011988012,0.0625,0.014985014985015,NA
252,500,0.4,5,0,1,0,1,NA
253,500,0.4,5,0.0625,0.016983016983017,0.0625,0.013986013986014,NA
254,500,0.4,5,0.0625,0.024975024975025,0.0625,0.018981018981019,NA
255,500,0.4,5,0,1,0,1,NA
256,500,0.4,5,0.0625,0.00699300699300699,0.0625,0.00899100899100899,NA
257,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
258,500,0.4,5,0,1,0,1,NA
259,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
260,500,0.4,5,0.0625,0.00999000999000999,0.0625,0.013986013986014,NA
261,500,0.4,5,0.0625,0.00899100899100899,0.0625,0.012987012987013,NA
262,500,0.4,5,0.0625,0.036963036963037,0.0625,0.03996003996004,NA
263,500,0.4,5,0.0625,0.002997002997003,0.0625,0.003996003996004,NA
264,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
265,500,0.4,5,0.0625,0.013986013986014,0.0625,0.021978021978022,NA
266,500,0.4,5,0.0625,0.035964035964036,0.0625,0.040959040959041,NA
267,500,0.4,5,0.0625,0.015984015984016,0.0625,0.026973026973027,NA
268,500,0.4,5,0.0625,0.011988011988012,0.0625,0.010989010989011,NA
269,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
270,500,0.4,5,0,1,0,1,NA
271,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
272,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
273,500,0.4,5,0,1,0,1,NA
274,500,0.4,5,0.0625,0.021978021978022,0.0625,0.030969030969031,NA
275,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
276,500,0.4,5,0,1,0,1,NA
277,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
278,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
279,500,0.4,5,0.0625,0.00899100899100899,0.0625,0.010989010989011,NA
280,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
281,500,0.4,5,0.0625,0.00899100899100899,0.0625,0.010989010989011,NA
282,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
283,500,0.4,5,0,1,0,1,NA
284,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
285,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
286,500,0.4,5,0.0625,0.033966033966034,0.0625,0.034965034965035,NA
287,500,0.4,5,0.0625,0.028971028971029,0.0625,0.028971028971029,NA
288,500,0.4,5,0.0625,0.038961038961039,0.0625,0.035964035964036,NA
289,500,0.4,5,0.125,0.001,0.125,0.001,NA
290,500,0.4,5,0.0625,0.021978021978022,0.0625,0.020979020979021,NA
291,500,0.4,5,0.0625,0.036963036963037,0.0625,0.045954045954046,NA
292,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
293,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
294,500,0.4,5,0.0625,0.01998001998002,0.0625,0.021978021978022,NA
295,500,0.4,5,0.0625,0.025974025974026,0.0625,0.031968031968032,NA
296,500,0.4,5,0.0625,0.018981018981019,0.0625,0.020979020979021,NA
297,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
298,500,0.4,5,0.0625,0.033966033966034,0.0625,0.025974025974026,NA
299,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
300,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
301,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
302,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
303,500,0.4,5,0,1,0,1,NA
304,500,0.4,5,0.0625,0.035964035964036,0.0625,0.040959040959041,NA
305,500,0.4,5,0.0625,0.043956043956044,0.0625,0.051948051948052,NA
306,500,0.4,5,0.0625,0.00999000999000999,0.0625,0.012987012987013,NA
307,500,0.4,5,0.0625,0.01998001998002,0.0625,0.01998001998002,NA
